"","BR1","BR2","BR3","CN1","CN2","CN3","DU1","DU2","DU3","EL1","EL2","EL3","HB1","HB2","HB3","HN1","HN2","HN3","KN1","KN2","KN3","MB1","MB2","MB3","MN1","MN2","MN3","NK1","NK2","NK3","PA1","PA2","PA3","PE1","PE2","PE3","RB1","RB2","RB3","RN1","RN2","RN3","SM1","SM2","SM3","SN1","SN2","SN3","SY1","SY2","SY3","TB1","TB2","TB3"
"OTU_2587",0,0,0,0,0,0,22,14,12,20,23,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2588",0,0,0,0,0,0,0,0,0,48,47,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_259",0,0,0,0,0,0,0,0,0,692,812,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1743,1391,1494
"OTU_2590",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,25,26,26,36,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,36,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2594",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,34,0,0,0,14,0,0,0
"OTU_2597",0,0,0,43,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,25,45,29,0,0,0,0,0,0
"OTU_26",1860,745,601,4126,3141,3494,0,0,0,246,249,340,449,535,495,919,538,402,40,45,46,175,178,163,67,53,38,25,24,63,249,270,220,1389,1975,1633,0,0,0,0,0,0,7583,6249,3305,10361,14550,11627,3502,6107,5314,445,383,375
"OTU_2600",0,0,0,0,0,0,0,0,0,11,25,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,70,48,0,0,0,0,0,0
"OTU_2602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,17,0,0,0,0,0,0,0,0,0,34,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,48,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,60,0,0,0,0,0,0
"OTU_2607",25,34,25,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2608",10,0,0,26,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,18,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0
"OTU_261",0,0,0,0,0,0,0,0,0,0,0,0,1354,1380,1355,814,574,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,400,365
"OTU_2611",0,0,0,0,0,0,0,0,0,0,0,0,58,55,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2612",0,0,0,0,0,0,0,0,0,0,0,0,0,39,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,25
"OTU_2613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,61,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2614",81,34,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2616",0,0,0,68,48,57,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2617",0,0,0,55,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,35,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2619",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,36,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2622",0,0,0,0,0,0,12,15,24,10,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"OTU_2623",0,0,0,0,0,0,0,0,0,25,34,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,61,35,0,0,0,0,0,0
"OTU_2629",29,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27,13,0,0,0,0,0,0,0,0,0
"OTU_263",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2389,2155,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2630",0,0,0,49,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,19,0,9,0,0,0,0
"OTU_2631",0,0,0,76,44,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2632",0,0,0,31,34,21,0,0,0,0,0,0,0,0,0,16,13,11,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"OTU_2633",0,0,0,23,29,26,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,7,0,0,0,0,0,0
"OTU_2634",0,0,0,0,0,0,57,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
