"","BR","CN","DU","EL","HB","HN","KN","MB","MN","NK","PA","PE","RB","RN","SM","SN","SY","TB"
"OTU_1294",0,0,0,0,0,0,0,50,36,0,0,0,0,0,0,0,0,0
"OTU_1298",0,0,0,30,0,0,12,19,14,0,0,32,0,0,0,0,0,0
"OTU_1299",0,0,36,0,0,0,0,0,0,0,0,0,81,50,0,0,0,0
"OTU_130",61,0,0,0,1063,0,0,0,0,0,2696,0,0,0,0,0,0,0
"OTU_1300",0,55,0,0,0,0,0,0,4,0,0,0,0,0,41,0,0,0
"OTU_1301",0,0,10,82,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"OTU_1304",0,24,0,0,0,0,0,0,76,0,0,0,0,0,0,13,0,0
"OTU_1305",0,0,0,0,0,0,0,111,44,0,0,0,99,0,0,0,0,0
"OTU_1306",0,65,0,0,0,0,0,0,51,0,0,9,0,0,0,0,0,0
"OTU_1307",0,0,0,0,10,0,0,0,0,0,0,0,0,0,42,17,15,6
"OTU_1308",0,0,0,0,15,0,0,0,0,0,0,0,69,0,0,0,0,14
"OTU_131",0,150,311,0,0,0,480,54,352,197,0,54,1470,467,137,0,151,0
"OTU_1310",0,0,0,0,41,24,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1311",0,0,0,0,0,0,13,17,11,0,0,32,0,0,0,0,0,0
"OTU_1314",0,75,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"OTU_1315",0,0,12,45,0,0,0,0,0,0,0,39,16,0,0,0,0,0
"OTU_1316",0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0
"OTU_1317",0,57,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"OTU_1318",0,0,0,0,0,0,0,11,0,0,0,60,0,0,0,0,0,0
"OTU_1319",0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_132",0,0,0,37,91,0,0,262,127,0,0,1526,0,0,22,11,129,263
"OTU_1320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"OTU_1321",0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1322",0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0
"OTU_1323",0,0,0,76,0,0,0,0,0,0,29,0,0,0,0,0,0,0
"OTU_1328",0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1329",0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0
"OTU_133",697,27,0,1031,0,23,26,20,141,272,1191,0,0,17,0,0,0,0
"OTU_1330",0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1331",0,0,10,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0
"OTU_1333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"OTU_1334",0,0,0,0,0,0,48,0,38,0,0,0,0,0,0,0,0,0
"OTU_1335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0
"OTU_1336",0,0,0,0,0,0,0,56,0,0,0,0,0,0,39,0,0,0
"OTU_1337",0,0,0,0,34,0,0,33,0,0,0,0,0,0,0,0,0,0
"OTU_1339",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,85,0,0
"OTU_134",379,0,0,0,0,0,0,0,0,2276,0,5,0,0,0,0,0,0
"OTU_1341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,43
"OTU_1342",0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_1343",0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0
"OTU_1344",0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0
"OTU_1345",0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,21,0,0
"OTU_1346",0,0,12,0,0,0,0,0,0,0,0,0,14,0,55,0,0,0
"OTU_1349",0,0,0,0,0,0,16,0,0,0,0,0,0,0,78,10,0,0
"OTU_135",0,0,0,0,2576,0,0,0,0,0,0,0,0,0,0,0,44,107
