"","C1","C2","C3","C4","C5","C6","C7","C8","C9","NTC","PCR1","X","Kingdom","Phylum","Class","Order","Family","Genus","NA"
"OTU_22",0,0,0,9,0,0,0,0,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_221",0,1025,0,0,5296,2169,0,0,0,29,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2258",0,0,0,0,0,0,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_228",0,0,0,31,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2329",0,0,0,167,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2388",0,160,0,8,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_24",0,0,0,0,0,0,0,0,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_240",0,0,6,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_248",0,0,0,0,0,0,0,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2485",0,0,42,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_25",0,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2573",0,0,0,113,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_26",0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2643",0,0,0,20,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_266",0,0,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2672",0,0,0,36,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_27",0,0,49,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2780",0,0,0,9,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2801",0,0,56,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2802",0,0,9,117,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2803",0,0,0,17,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2828",0,6,70,43,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2868",0,0,26,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_2869",0,0,0,0,0,0,0,102,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"OTU_289",0,0,0,12,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
