"","V1","V2","V3","V4"
"726",0.14,0.4,91,20
"727",0.819,0.42,91,20
"728",0.324,0.44,91,20
"729",0.001,0.3,92,20
"730",0.002,0.32,92,20
"731",0.001,0.34,92,20
"732",0.02,0.36,92,20
"733",0.134,0.38,92,20
"734",0.585,0.4,92,20
"735",0.268,0.42,92,20
"736",0.778,0.44,92,20
"737",0.001,0.3,93,20
"738",0.049,0.32,93,20
"739",0.038,0.34,93,20
"740",0.087,0.36,93,20
"741",0.372,0.38,93,20
"742",0.31,0.4,93,20
"743",0.643,0.42,93,20
"744",0.306,0.44,93,20
"745",0.005,0.3,94,20
"746",0.007,0.32,94,20
"747",0.043,0.34,94,20
"748",0.061,0.36,94,20
"749",0.037,0.38,94,20
"750",0.401,0.4,94,20
"751",0.636,0.42,94,20
"752",0.077,0.44,94,20
"753",0.005,0.3,95,20
"754",0.001,0.32,95,20
"755",0.046,0.34,95,20
"756",0.126,0.36,95,20
"757",0.342,0.38,95,20
"758",0.154,0.4,95,20
"759",0.05,0.42,95,20
"760",0.94,0.44,95,20
"761",0.002,0.3,96,20
"762",0.206,0.32,96,20
"763",0.008,0.34,96,20
"764",0.111,0.36,96,20
"765",0.282,0.38,96,20
"766",0.394,0.4,96,20
"767",0.336,0.42,96,20
"768",0.24,0.44,96,20
"769",0.001,0.3,97,20
"770",0.004,0.32,97,20
"771",0.151,0.34,97,20
"772",0.006,0.36,97,20
"773",0.075,0.38,97,20
"774",0.008,0.4,97,20
"775",0.759,0.42,97,20
"776",0.393,0.44,97,20
"777",0.001,0.3,98,20
"778",0.001,0.32,98,20
"779",0.002,0.34,98,20
"780",0.384,0.36,98,20
"781",0.137,0.38,98,20
"782",0.21,0.4,98,20
"783",0.732,0.42,98,20
"784",0.422,0.44,98,20
"785",0.011,0.3,99,20
"786",0.006,0.32,99,20
"787",0.003,0.34,99,20
"788",0.041,0.36,99,20
"789",0.462,0.38,99,20
"790",0.141,0.4,99,20
"791",0.749,0.42,99,20
"792",0.732,0.44,99,20
"793",0.002,0.3,100,20
"794",0.009,0.32,100,20
"795",0.004,0.34,100,20
"796",0.15,0.36,100,20
"797",0.452,0.38,100,20
"798",0.003,0.4,100,20
"799",0.326,0.42,100,20
"800",0.23,0.44,100,20
"801",0.001,0.3,1,50
"802",0.004,0.32,1,50
"803",0.049,0.34,1,50
"804",0.004,0.36,1,50
"805",0.027,0.38,1,50
"806",0.12,0.4,1,50
"807",0.306,0.42,1,50
"808",0.199,0.44,1,50
"809",0.001,0.3,2,50
"810",0.001,0.32,2,50
"811",0.01,0.34,2,50
"812",0.006,0.36,2,50
"813",0.238,0.38,2,50
"814",0.092,0.4,2,50
"815",0.033,0.42,2,50
"816",0.162,0.44,2,50
"817",0.001,0.3,3,50
"818",0.001,0.32,3,50
"819",0.001,0.34,3,50
"820",0.003,0.36,3,50
"821",0.229,0.38,3,50
"822",0.139,0.4,3,50
"823",0.275,0.42,3,50
"824",0.316,0.44,3,50
"825",0.001,0.3,4,50
"826",0.001,0.32,4,50
"827",0.001,0.34,4,50
"828",0.008,0.36,4,50
"829",0.007,0.38,4,50
"830",0.057,0.4,4,50
"831",0.027,0.42,4,50
"832",0.381,0.44,4,50
"833",0.001,0.3,5,50
"834",0.001,0.32,5,50
"835",0.105,0.34,5,50
"836",0.015,0.36,5,50
"837",0.024,0.38,5,50
"838",0.027,0.4,5,50
"839",0.546,0.42,5,50
"840",0.155,0.44,5,50
"841",0.001,0.3,6,50
"842",0.001,0.32,6,50
"843",0.002,0.34,6,50
"844",0.104,0.36,6,50
"845",0.047,0.38,6,50
"846",0.059,0.4,6,50
"847",0.028,0.42,6,50
"848",0.234,0.44,6,50
"849",0.001,0.3,7,50
"850",0.001,0.32,7,50
"851",0.014,0.34,7,50
"852",0.015,0.36,7,50
"853",0.013,0.38,7,50
"854",0.009,0.4,7,50
"855",0.321,0.42,7,50
"856",0.681,0.44,7,50
"857",0.001,0.3,8,50
"858",0.001,0.32,8,50
"859",0.001,0.34,8,50
"860",0.029,0.36,8,50
"861",0.042,0.38,8,50
"862",0.194,0.4,8,50
"863",0.006,0.42,8,50
"864",0.896,0.44,8,50
"865",0.001,0.3,9,50
"866",0.001,0.32,9,50
"867",0.02,0.34,9,50
"868",0.071,0.36,9,50
"869",0.007,0.38,9,50
"870",0.461,0.4,9,50
"871",0.827,0.42,9,50
"872",0.152,0.44,9,50
"873",0.001,0.3,10,50
"874",0.001,0.32,10,50
"875",0.001,0.34,10,50
"876",0.067,0.36,10,50
"877",0.013,0.38,10,50
"878",0.105,0.4,10,50
"879",0.004,0.42,10,50
"880",0.548,0.44,10,50
"881",0.001,0.3,11,50
"882",0.008,0.32,11,50
"883",0.001,0.34,11,50
"884",0.011,0.36,11,50
"885",0.001,0.38,11,50
"886",0.276,0.4,11,50
"887",0.065,0.42,11,50
"888",0.279,0.44,11,50
"889",0.001,0.3,12,50
"890",0.001,0.32,12,50
"891",0.001,0.34,12,50
"892",0.029,0.36,12,50
"893",0.001,0.38,12,50
"894",0.003,0.4,12,50
"895",0.654,0.42,12,50
"896",0.105,0.44,12,50
"897",0.001,0.3,13,50
"898",0.001,0.32,13,50
"899",0.001,0.34,13,50
"900",0.081,0.36,13,50
"901",0.001,0.38,13,50
"902",0.371,0.4,13,50
"903",0.504,0.42,13,50
"904",0.293,0.44,13,50
"905",0.001,0.3,14,50
"906",0.002,0.32,14,50
"907",0.008,0.34,14,50
"908",0.001,0.36,14,50
"909",0.001,0.38,14,50
"910",0.104,0.4,14,50
"911",0.015,0.42,14,50
"912",0.168,0.44,14,50
"913",0.001,0.3,15,50
"914",0.001,0.32,15,50
"915",0.001,0.34,15,50
"916",0.017,0.36,15,50
"917",0.1,0.38,15,50
"918",0.058,0.4,15,50
"919",0.06,0.42,15,50
"920",0.066,0.44,15,50
"921",0.001,0.3,16,50
"922",0.001,0.32,16,50
"923",0.002,0.34,16,50
"924",0.024,0.36,16,50
"925",0.267,0.38,16,50
"926",0.44,0.4,16,50
"927",0.32,0.42,16,50
"928",0.359,0.44,16,50
